,red,yellow,green,blue
141,123.10414707986038,387.9826489526645,1736.2183915673531,28442.869326007938
142,121.77675808165986,393.64626098405876,1710.0126356607043,27868.505105405708
143,123.51383984491379,397.8014310955693,1663.9563834820453,26901.423576749123
144,121.33038872000229,395.07924638459923,1592.451345001523,25532.830979101607
145,121.00312069835091,398.31768470132687,1509.687241201796,23919.2847300815
146,120.29697687006882,396.46232108421657,1407.79436303919,22022.097752746828
147,114.60993432432979,391.0622340986048,1298.550540171167,20031.60294341801
148,111.26320619414098,385.48600074337094,1186.3502809556544,17987.63662963647
149,110.15127419180357,381.73195976778584,1071.4126869001868,15884.09366921812
150,104.24356607913819,371.40478507058566,961.0795914287784,13946.277266991294
151,98.57492670775193,361.08455916738933,855.5781264827548,12071.299379807497
152,95.48562957529916,353.99494711587846,765.82350876405,10439.862752916952
153,93.61455777860105,347.2080014414493,679.3577179813647,8898.851106618513
154,84.30750565004567,330.62670516159096,590.7891227590471,7516.719417057067
155,79.26320110355418,317.7982785080627,520.2335522875013,6343.885225262146
156,75.6181989943899,308.0389614299527,461.3173105856512,5322.628238297872
157,71.31702875056419,297.386645440679,408.8660453526161,4437.138453187688
158,66.03072105349602,285.68537617021275,362.66798823685724,3701.5192341329625
159,63.39695560345174,276.29981379377034,325.45548009618943,3084.391889279377
160,62.196811746025254,267.68666987141097,298.00302666269823,2589.5853774515253
161,58.82736104524771,259.5187733209304,269.80002622476746,2164.4007626771518
162,56.18904176901134,250.61707905819628,245.07726626535532,1811.34898785054
163,54.55404111086251,242.53139020373922,227.2862960782653,1522.3323779571758
164,55.269706949925684,241.26394347682526,217.08516758989808,1297.0063905107295
165,48.88786190712947,231.1365578157167,201.0811936316157,1098.0788731294926
166,48.016094706115645,226.32159342767937,187.74992383617686,934.4453511228502
167,49.30792412563437,224.85674101205183,185.0384170979592,807.8327513347132
168,46.89570038664854,221.14207783980672,176.15577957296088,698.9457547212373
169,45.02902130993581,217.4941222094928,169.07480937057943,606.3150393854007
170,45.52448808510621,215.54787551140183,163.47045204348981,531.8432781274068
171,50.038136993587585,218.20039626062498,164.79883916679267,477.12839565714705
172,48.04764594247938,216.7543835077583,164.5509578055085,426.90389811139573
173,44.020945351866,209.92251020725809,156.41035952082274,381.9636966195803
174,33.55860201012451,198.05405086468,140.71542416731637,333.4913614794501
175,22.856367813798062,182.4636764049007,126.93878341153751,291.48486162047305
176,22.022729212575076,177.9877866312651,118.06682307529432,262.9154951827601
177,7.516787693414295,164.16292319258648,101.11680987952572,230.75144198299887
178,9.686911632127442,161.6837589801135,97.39984358136095,210.1408304724814
179,18.296909078190787,174.88412151447073,109.68511371849209,209.16769340949742
180,23.19516296462932,184.03343530973137,115.14072532436475,211.5908661701368
181,29.70562661572193,192.60568735083012,121.10590218862724,213.70694461455008
182,33.32436540142965,198.36539052313384,127.42018004132258,212.59067435515271
